"","time","N","Uninfected","I","Species","prop_inf","Lower_CI","Upper_CI"
"1",0,2694,2693,1,"V",0.000371195248700817,9.39780587163374e-06,0.00206641359586246
"2",1,2279,2268,11,"V",0.00482667836770513,0.00241184850857157,0.00861981313591409
"3",2,1804,1783,21,"V",0.0116407982261641,0.00721988009193522,0.0177394113312177
"4",3,1477,1447,30,"V",0.02031144211239,0.013744977698385,0.0288696955369542
"5",4,1182,1148,34,"V",0.0287648054145516,0.0200009489224297,0.0399654811112153
"6",5,947,910,37,"V",0.0390707497360085,0.0276559238192875,0.0534540307648818
"7",6,704,670,34,"V",0.0482954545454545,0.0336745003180174,0.0668370207452516
"8",7,577,544,33,"V",0.0571923743500867,0.0396919346991794,0.079384908171528
"9",8,462,431,31,"V",0.0670995670995671,0.0460427772364049,0.0938930893809299
"10",9,350,323,27,"V",0.0771428571428571,0.0514509778139589,0.110255550661018
"11",10,289,265,24,"V",0.0830449826989619,0.0539325337364292,0.121044620321668
"12",11,227,206,21,"V",0.092511013215859,0.0581807471617821,0.137934524048772
"13",12,191,172,19,"V",0.0994764397905759,0.0609605391631888,0.150982308919074
"14",13,146,130,16,"V",0.10958904109589,0.0639514974599888,0.171860151975047
"15",14,119,105,14,"V",0.117647058823529,0.0658339029125878,0.189509035186745
"16",15,93,81,12,"V",0.129032258064516,0.0684872014524639,0.214548324853867
